overallocation,conflicts,undersupport,unwilling,unpreffered
9.0,3,10.0,7,19
2.0,0,19.0,9,5
7.0,1,17.0,5,7
3.0,0,17.0,8,8
16.0,4,4.0,39,0
5.0,1,15.0,16,4
3.0,0,18.0,9,4
1.0,0,25.0,1,0
6.0,0,12.0,5,15
3.0,2,18.0,7,12
6.0,2,12.0,16,6
14.0,0,8.0,35,0
4.0,2,15.0,3,16
4.0,0,18.0,1,13
2.0,0,20.0,0,9
0.0,0,28.0,1,0
9.0,2,11.0,6,18
21.0,1,2.0,37,7
7.0,2,14.0,1,18
8.0,2,9.0,23,7
23.0,1,1.0,39,7
4.0,0,17.0,2,13
6.0,1,13.0,22,0
15.0,3,8.0,11,21
17.0,0,6.0,36,3
3.0,0,17.0,13,1
0.0,0,24.0,4,5
16.0,1,5.0,39,2
3.0,0,15.0,13,17
5.0,1,14.0,19,0
21.0,2,1.0,39,6
0.0,0,23.0,10,0
9.0,1,12.0,16,6
8.0,2,13.0,0,18
5.0,0,16.0,15,3
1.0,0,21.0,3,4
10.0,1,11.0,6,21
3.0,2,18.0,3,13
10.0,2,11.0,5,20
2.0,1,19.0,8,5
0.0,0,25.0,2,6
3.0,0,18.0,8,7
3.0,0,17.0,9,5
8.0,1,12.0,21,4
10.0,1,11.0,25,1
0.0,1,22.0,11,1
5.0,0,18.0,13,0
5.0,1,12.0,22,1
10.0,2,10.0,6,20
10.0,1,11.0,7,20
16.0,4,6.0,37,1
6.0,1,14.0,1,19
1.0,0,26.0,0,0
6.0,0,14.0,4,14
2.0,0,17.0,9,17
0.0,0,27.0,3,0
4.0,1,16.0,12,6
18.0,0,2.0,38,8
0.0,0,30.0,0,0
2.0,0,17.0,18,0
10.0,1,10.0,7,21
12.0,1,8.0,14,20
1.0,0,17.0,14,6
12.0,2,9.0,10,19
4.0,1,16.0,5,17
0.0,0,22.0,6,3
10.0,2,11.0,8,15
2.0,0,18.0,10,5
0.0,0,27.0,2,2
18.0,1,2.0,42,0
18.0,1,3.0,39,0
4.0,2,14.0,4,15
14.0,0,5.0,41,0
1.0,0,21.0,0,7
3.0,0,19.0,9,3
10.0,1,14.0,0,22
4.0,1,15.0,9,13
7.0,1,12.0,24,0
0.0,0,29.0,0,2
5.0,0,17.0,16,0
0.0,1,25.0,0,3
4.0,1,16.0,19,0
0.0,0,24.0,9,0
8.0,0,10.0,9,14
8.0,1,15.0,0,15
1.0,0,18.0,13,6
6.0,3,11.0,16,5
8.0,0,17.0,10,3
18.0,0,3.0,37,7
13.0,2,8.0,34,0
17.0,1,3.0,42,0
1.0,1,19.0,9,4
5.0,1,16.0,16,0
6.0,1,13.0,2,18
18.0,0,2.0,43,1
4.0,0,19.0,0,13
21.0,2,1.0,40,5
0.0,1,24.0,1,4
6.0,0,17.0,15,0
0.0,0,26.0,0,3
1.0,0,20.0,8,0
4.0,0,16.0,13,6
22.0,3,1.0,37,7
6.0,0,13.0,4,15
1.0,0,24.0,3,0
0.0,0,25.0,0,7
6.0,0,14.0,3,15
3.0,0,19.0,6,4
8.0,0,13.0,7,14
0.0,0,19.0,9,7
6.0,1,15.0,0,18
6.0,3,15.0,14,6
0.0,0,21.0,10,5
5.0,0,18.0,7,6
2.0,0,21.0,0,6
2.0,0,16.0,11,16
7.0,1,15.0,15,6
1.0,0,22.0,0,3
6.0,2,14.0,0,19
17.0,0,4.0,33,8
2.0,0,20.0,4,3
5.0,0,16.0,10,8
5.0,0,18.0,3,12
4.0,2,18.0,0,14
9.0,2,11.0,7,17
7.0,0,16.0,16,0
8.0,2,12.0,0,20
2.0,1,17.0,11,4
3.0,0,12.0,18,7
6.0,0,15.0,17,0
7.0,2,10.0,19,7
3.0,0,18.0,10,3
0.0,0,24.0,3,6
11.0,2,10.0,3,17
15.0,0,7.0,36,0
6.0,2,13.0,15,6
6.0,1,14.0,12,9
1.0,0,19.0,1,7
6.0,1,13.0,16,13
7.0,0,11.0,10,12
5.0,0,19.0,12,0
17.0,0,4.0,35,7
18.0,2,2.0,40,0
22.0,1,1.0,43,3
16.0,1,4.0,40,1
0.0,0,25.0,5,0
6.0,0,17.0,12,4
1.0,0,21.0,5,0
4.0,1,15.0,10,12
0.0,1,23.0,2,4
6.0,2,18.0,8,5
2.0,0,18.0,8,17
9.0,1,14.0,15,5
3.0,1,18.0,11,0
6.0,0,13.0,24,0
17.0,0,4.0,38,0
4.0,2,16.0,11,6
5.0,0,17.0,0,14
10.0,2,11.0,6,16
1.0,0,24.0,2,1
15.0,1,6.0,39,0
7.0,1,15.0,2,17
14.0,1,8.0,18,19
18.0,0,3.0,41,0
1.0,0,23.0,4,0
2.0,0,18.0,17,0
2.0,0,14.0,16,5
0.0,0,26.0,3,1
6.0,0,16.0,11,7
18.0,0,4.0,36,3
8.0,0,12.0,8,14
0.0,0,23.0,5,5
0.0,0,26.0,4,0
16.0,1,5.0,40,0
5.0,1,14.0,12,13
10.0,3,11.0,4,18
3.0,0,13.0,17,7
8.0,2,12.0,1,18
4.0,2,17.0,0,15
2.0,0,17.0,8,18
6.0,1,14.0,5,13
2.0,0,16.0,14,5
0.0,0,20.0,8,6
